Level 2 Systems Administrator - Help desk	Bega Cheese Limited	Toowoomba & Darling Downs	Information & Communication Technology	Null	In this role you will be responsible for providing technical support to internal staff for computer and mobile device issues.
Field Engineer	Unisys	Toowoomba & Darling Downs	Information & Communication Technology	Null	You'll provide technical support for a number of our customers in Toowoomba. This is a field support role where you need to use your own car.
Senior Mechanical Draftsperson	Russell Mineral Equipment	Toowoomba & Darling Downs	Engineering	Null	There is now an exciting opportunity for a Senior Mechanical Draftsperson to join the R&D Development team on a permanent, full time basis.
Administration / Data Entry	Null	Toowoomba & Darling Downs	Administration & Office Support	Null	Nanango based engineering firm seeking enthusiastic & reliable admin/data entry assistant. 9am-3pm Mon-Thur 9am-2pm Fri
Assistant Accountant	HB Group (Qld) Pty Ltd	Toowoomba & Darling Downs	Accounting	Null	Full- time, Assistant Accountant position, with commercial business in Toowoomba.  Opportunity for progression.
Contracts Technical Administrator	Russell Mineral Equipment	Toowoomba & Darling Downs	Manufacturing, Transport & Logistics	Null	There is now an exciting opportunity for a Contracts Technical Administrator to join the Contracts and Projects team on a permanent, full-time basis.
Commercial and Finance Manager	CSM Service Bodies	Toowoomba & Darling Downs	Accounting	Null	A member of the leadership team, responsible for financial reporting and effective financial control. A driver of change through performance analysis.
HR Administrator	JBS Australia Pty Limited	Toowoomba & Darling Downs	Human Resources & Recruitment	Null	This role will support the HR Officers in a variety of tasks related to the HR Department in a busy, fast-paced environment.
Depot Administrator	Ocwen Energy Pty Ltd	Toowoomba & Darling Downs	Administration & Office Support	Null	Contribute to the day to day Depot functions by providing administration support to our Depot in Wondai.
Contracts Administrator - Columboola QLD	Sterling and Wilson Solar Australia	Toowoomba & Darling Downs	Construction	Null	Great Opportunity for an experienced Contracts Administrator to join a global Solar Giant!
Contracts Technical Administrator	Russell Mineral Equipment	Toowoomba & Darling Downs	Engineering	Null	There is now an exciting opportunity for a Contracts Technical Administrator to join the Contracts and Projects team on a permanent, full-time basis.
Administration Officer – RMT	Blue Care	Toowoomba & Darling Downs	Administration & Office Support	Null	We’re seeking Scheduling Administrators to join our Resource Management team in Toowoomba for a 6 month contract! Full time and Part time contracts ar
Health and Safety Administrator	Coldshield	Toowoomba & Darling Downs	Construction	Null	Safety and wellbeing are a key value and part of our culture, and we are seeking a proactive team member to take this to the next level
Remote Mining Village Site Administrator-Toowoomba, QLD	Cater Care	Toowoomba & Darling Downs	Hospitality & Tourism	Null	2 week on 1 week off roster- Great team environment- Career Development Opportunities
Debtor Administration Assistant - Toowoomba Qld	Land Transport	Toowoomba & Darling Downs	Administration & Office Support	Null	Land Transport is looking for an experienced administrator to join their team in this challenging Permanent Part Time Role in our Head Office
Administration Officer	Skout Solutions Pty Ltd	Toowoomba & Darling Downs	Administration & Office Support	Null	This role would be ideal for an experienced administrator who has an interest in human resources and recruitment.
Administrative Officer (AO2) - Hair & Beauty Salon	TAFE Queensland South West	Toowoomba & Darling Downs	Administration & Office Support	Null	TAFE Queensland - South West Region is seeking an Admin Officer to perform receptionist functions within the vibrant and busy Hair and Beauty Salon.
Administrative Officer (AO2) - Hair & Beauty Salon	TAFE Queensland South West	Toowoomba & Darling Downs	Education & Training	Null	TAFE Queensland - South West Region is seeking an Admin Officer to perform receptionist functions within the vibrant and busy Hair and Beauty Salon.
Cert III in Business Trainee - Toowoomba	Harness Energy Services Pty Ltd	Toowoomba & Darling Downs	Administration & Office Support	Null	Harness Energy is seeking a motivated & determined individual for our current traineeship opportunity in Toowoomba.
